track,artist,album
Angelic Voices Calling,Illnath,Angelic Voices Calling
By the Hands of Violent Winter,Illnath,Cast Into Fields of Evil Pleasure
Cast Into Fields of Evil Pleasure,Illnath,Cast Into Fields of Evil Pleasure
And There Was Light,Illnath,Second Skin of Harlequin
All Shall Fall,Immortal,All Shall Fall
More Than Conquerors,Impending Doom,The Serpent Servant
Image of Time,In Vain,Ænigma
Drive,Incubus,Make Yourself
Wish You Were Here,Incubus,Morning View
The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens,Infant Annihilator,The Battle of Yaldabaoth
Unholy Gravebirth,Infant Annihilator,The Elysian Grandeval Galèriarch
Heaven Sent,Infinite Descent,Infinite Descent
Begin,Injury,No Promises Made
Weighed Down With Sorrow,Insomnium,Across the Dark
Reflections,IRE,Reflections
Dance of Death,Iron Maiden,Dance of Death
Fear of the Dark,Iron Maiden,Fear of the Dark
Mother Russia,Iron Maiden,No Prayer for the Dying
The Trooper,Iron Maiden,Piece of Mind
Run to the Hills,Iron Maiden,The Number of the Beast
Moments Lost In Time,IRONSTONE,Moments Lost In Time
Battlefield,Jordin Sparks,Battlefield
The Hellion / Electric Eye,Judas Priest,Metalogy
Sayonee,Junoon,Jeet Lo Dil
Miséria da Sabedoria,Kaatayra,Toda História pela Frente
O Castigo Vem a Cavalo,Kaatayra,Toda História pela Frente
Toda Mágoa do Mundo,Kaatayra,Toda História pela Frente
Carry On Wayward Son,Kansas,Dust in the Wind
I Hate the Sound of Car Keys,Kaonashi,I Hate the Sound of Car Keys
Alles Wird in Flammen Stehen,Karg,Weltenasche
Crevasse,Karg,Weltenasche
Decima,Katatonia,The Fall of Hearts
Amusement Park Theme,Keiichi Okabe,Nier Automata Official Soundtrack
Grandma,Keiichi Okabe,Nier Replicant Official Soundtrack
Peaceful Sleep,Keiichi Okabe,NieR:Automata Unreleased Additional Soundtrack
Weight of the World,Keiichi Okabe,NieR:Automata Unreleased Additional Soundtrack
Behind These Hazel Eyes,Kelly Clarkson,Breakaway
My Curse,Killswitch Engage,As Daylight Dies
The Arms of Sorrow,Killswitch Engage,As Daylight Dies
This Fire,Killswitch Engage,As Daylight Dies
The End of Heartache,Killswitch Engage,Disarm the Descent
Six Feet Under,Kissin' Dynamite,"Money, Sex & Power"
Idol Hands,Kmac2021,Idol Hands
Tunnel Vision,Kodak Black,Painting Pictures
Reminder,Kryn,Scars Remind Me
Confide in Me,Kylie Minogue,Kylie Minogue
Intoxicated,Lacuna Coil,Dark Adrenaline
Pagol Chara Duniya Chole Na,Lalon Band,
Vigil,Lamb of God,As The Palaces Burn
Walk With Me in Hell,Lamb of God,Sacrament
Fullmoon Over Faerhaaven,Lamentation,Fullmoon Over Faerhaaven
Everything's Alright,Laura Shigihara,
Stairway to Heaven,Led Zeppelin,Bring Forth Death
Madeline and Theo,Lena Raine,Celeste Original Soundtrack
Rewind,Leprous,The Congregation
60's Love,Level Five,Obosheshey
Mental Central Dialog,Lifelover,Konkurs
Die Alone,Light the Torch,Revival
Blackbirds,Linkin Park,A Thousand Suns
Blackout,Linkin Park,A Thousand Suns
Lost in the Echo,Linkin Park,Living Things
Fighting Myself,Linkin Park,Meteora (20th anniversary edition)
Lumière,Lorien Testard,Clair Obscur: Expedition 33 (Original Soundtrack)
Pain Remains I: Dancing Like Flames,Lorna Shore,Pain Remains
"Pain Remains II: After All I've Done, I'll Disappear",Lorna Shore,Pain Remains
Pain Remains III: In a Sea of Fire,Lorna Shore,Pain Remains
Sun//Eater,Lorna Shore,Pain Remains
…And I Return to Nothingness,Lorna Shore,…And I Return to Nothingness
Don't be so serious,Low Roar,"Once in a Long, Long While…"
Amay Dekona,Lucky Akhand,Best of Lucky Akhand
Moonlit Meadow,Lustre,Wonder
Petrichor,Lustre,Wonder
"if System of a Down wrote ""FIREFLIES"" by Owl City",mac glocky,
La Isla Bonita,Madonna,True Blue
Sweet Dreams,Marilyn Manson,Smells Like Childre 
Plastic Love,Mariya Takeuchi,
Oblivion,Mastodon,Crack the Skye
Aaj Raate Kono Rupkotha Nei,Md. Mobassher Choudhury,
Countdown to Extinction,Megadeth,Countdown to Extinction
New Millennium Cyanide Christ,Meshuggah,Chaosphere
Bleed,Meshuggah,Obzen
Alter Bridge,Metalingus,One Day Remains
Little Dark Age,MGMT,Little Dark Age
Leave Her Johnny,"Michel Schrey, Nils Brown, and Seán Dagher",Assassin's Creed 4: Black Flag (Sea Shanty Edition)
BFG Division,Mick Gordon,
Nuclear,Mike Oldfield,Man on the Rocks
Tribute,MiNERVA,
Shadows Inside,Miss May I,Shadows Inside
"Shook Ones, Pt. II",Mobb Deep,Chilled Hip Hop
Jontrona,Mohon Sharif,Jontrona
Kletka,Molchat Doma,Etazhi
Prisoner,Montfaucon,Renaissance
Across a Barbarian Village,MURGRIND,Inheritor of the Forest Throne
Arrival at the Wooden Gates,MURGRIND,Inheritor of the Forest Throne
Awakening in an Ancient Realm,MURGRIND,Inheritor of the Forest Throne
Far Winds beyond the Mountains,MURGRIND,Inheritor of the Forest Throne
Inheritor of the Forest Throne,MURGRIND,Inheritor of the Forest Throne
Leaving alongside the Rivers,MURGRIND,Inheritor of the Forest Throne
Path of Immortality,MURGRIND,Inheritor of the Forest Throne
Reach for the Stars,MURGRIND,Inheritor of the Forest Throne
Source of Might,MURGRIND,Inheritor of the Forest Throne
The Northern Oracle,MURGRIND,Inheritor of the Forest Throne
Ananda,My Sleeping Karma,Atma
Avatara,My Sleeping Karma,Atma
Maya Shakti,My Sleeping Karma,Atma
Mukti,My Sleeping Karma,Atma
Pralaya,My Sleeping Karma,Atma
Prema,My Sleeping Karma,Atma
Believer,Myrath,Legacy
Seven tears Are Flowing To The River,Nargaroth,Black Metal ist Krieg: A Dedication Monument
Chromatic Aberration,Native Construct,Quiet World
Chromatic Lights,Native Construct,Quiet World
Come Hell or High Water,Native Construct,Quiet World
Mute,Native Construct,Quiet World
Passage,Native Construct,Quiet World
The Spark of the Archon,Native Construct,Quiet World
Your Familiar Face,Native Construct,Quiet World
Alhamdulillah,Native Deen,Deen You Know
Deen You Know,Native Deen,Deen You Know
Drug Free,Native Deen,Deen You Know
Intentions,Native Deen,Deen You Know
Looking Glass,Native Deen,Deen You Know
Paradise,Native Deen,Deen You Know
Sakina,Native Deen,Deen You Know
Small Deeds,Native Deen,Deen You Know
Test,Native Deen,Deen You Know
Painters of the Tempest (Part III): Reveries from the Stained Glass Womb,Ne Obliviscaris,Citadel
"Painters of the Tempest, Part I: Wyrmholes",Ne Obliviscaris,Citadel
"Painters of the Tempest, Part II: Triptych Lux",Ne Obliviscaris,Citadel
And Plague Flowers the Kaleidoscope,Ne Obliviscaris,Portal of I
Forget Not,Ne Obliviscaris,Portal of I
Tapestry of the Starless Abstract,Ne Obliviscaris,Portal of I
Eyrie,Ne Obliviscaris,Urn
Intra Venus,Ne Obliviscaris,Urn
Libera (Part 1),Ne Obliviscaris,Urn
Libera (Part 2),Ne Obliviscaris,Urn
Urn (Part 1),Ne Obliviscaris,Urn
Urn (Part 2),Ne Obliviscaris,Urn
Stabwound,Necrophagist,Epitaph
Bed of Nails,"Neko Fuzz, Barbasauce",Rawk Album 1.0
We Need a Gimmick,Nekrogoblikon,Heavy Meta
The River Dragon Has Come,Nevermore,The Year of the Voyager
Annihilation of the Wicked,Nile,Annihilation of the Wicked
Priyotamo Ki Likhi Tomay,Nishita Barua,
Her Ghost Haunts These Walls,Nocturnal Depression,Deathcade
Nostalgia,Nocturnal Depression,Nostalgia - Fragments of a Broken Past
Bloodline,Northlane,Alien
Sins of Our Creations,Nothnegal,Decadence
Twilight Innocence,Novembers Doom,The Novella Reservoir
Feather,Nujabes,Modal Soul
Aria,Oh Hiroshima,In Silence We Yearn
Drones,Oh Hiroshima,In Silence We Yearn
Ellipse,Oh Hiroshima,In Silence We Yearn
Holding Rivers,Oh Hiroshima,In Silence We Yearn
Mirage,Oh Hiroshima,In Silence We Yearn
Ruach,Oh Hiroshima,In Silence We Yearn
Herald of Darkness,Old Gods of Asgard,Alan Wake 2 OST Official Soundtrack
Main Theme,Ori and the Blind Forest,
Fjörgyn,Osi and the Jupiter,Nordlige Rúnaskog
Beyond the Realms of God,Outlaw,Reaching Beyond Assiah
Dil Ki Doya,Paban Das Baul,Real Sugar
I Saw the End,Pallbearer,Heartless
Atlas,Parkway Drive,Atlas
Dark Days,Parkway Drive,Atlas
Dream Run,Parkway Drive,Atlas
Sleight of Hand,Parkway Drive,Atlas
Sparks,Parkway Drive,Atlas
The River,Parkway Drive,Atlas
The Slow Surrender,Parkway Drive,Atlas
Wild Eyes,Parkway Drive,Atlas
Darker Still,Parkway Drive,Darker Still
Glitch,Parkway Drive,Darker Still
The Greatest Fear,Parkway Drive,Darker Still
Alone,Parkway Drive,Deep Blue
Deadweight,Parkway Drive,Deep Blue
Deliver Me,Parkway Drive,Deep Blue
Home Is for the Heartless,Parkway Drive,Deep Blue
Karma,Parkway Drive,Deep Blue
Sleepwalker,Parkway Drive,Deep Blue
Wreckage,Parkway Drive,Deep Blue
Carrion,Parkway Drive,Horizons
Five Months,Parkway Drive,Horizons
Horizons,Parkway Drive,Horizons
Idols and Anchors,Parkway Drive,Horizons
A Deathless Song,Parkway Drive,Ire
Bottom Feeder,Parkway Drive,Ire
Crushed,Parkway Drive,Ire
Dedicated,Parkway Drive,Ire
Destroyer,Parkway Drive,Ire
Devil’s Calling,Parkway Drive,Ire
Fractures,Parkway Drive,Ire
The Sound of Violence,Parkway Drive,Ire
Vice Grip,Parkway Drive,Ire
Vicious,Parkway Drive,Ire
Writings on the Wall,Parkway Drive,Ire
Absolute Power,Parkway Drive,Reverence
Cemetery Bloom,Parkway Drive,Reverence
Chronos,Parkway Drive,Reverence
I Hope You Rot,Parkway Drive,Reverence
In Blood,Parkway Drive,Reverence
Prey,Parkway Drive,Reverence
Shadow Boxing,Parkway Drive,Reverence
The Colour of Leaving,Parkway Drive,Reverence
The Void,Parkway Drive,Reverence
Wishing Wells,Parkway Drive,Reverence
I Am the Lion,Phinehas,Phinehas
King for a Day,Pierce the Veil,Collide With the Sky
Where Is My Mind?,Pixies,Surfer Rosa
Give And Take,Poor Mans Poison,In the End
Personal Forest,Psychonaut 4,Dipsomania
Blurry,Puddle of Mudd,Come Clean
Sonne,Rammstein,Mutter
Humanity,Rawesome,Creation
Tooi Sakebi,Reichi Nakaido,
Safety,Reliqa,I Don't Know What I Am
I Don’t Know What I Am,Reliqa,I Don’t Know What I Am
The Ritualist,Reliqa,I Don’t Know What I Am
The Bearer of Bad News,Reliqa,The Bearer of Bad News
Lost In Darkness,Restorrected,To the One and Only
Immaculate Order,Rings of Saturn,Dingir
The Angler's Dream Vinyl Rip,River Master,
Cancer / Moonspeak,Rivers of Nihil,Where Owls Know My Name
Capricorn / Agoratopia,Rivers of Nihil,Where Owls Know My Name
Death Is Real,Rivers of Nihil,Where Owls Know My Name
Hollow,Rivers of Nihil,Where Owls Know My Name
The Silent Life,Rivers of Nihil,Where Owls Know My Name
Where Owls Know My Name,Rivers of Nihil,Where Owls Know My Name
I Will Die With Your Love,Sabhankra,Revenge
Easing the Pain,Sabhankra,Seers Memoir
Fine Again,Seether,Disclaimer
Harakiri,Serj Tankian,Harakiri
Dhoa'r Majhey,Shade,Shade
Underneath a Sullen Moon,Shadow of Intent,Melancholy
The Prelude to Bereavement,Shadow of Intent,Primordial
Water Awakes,Shallow Rivers,Water Awakes
Angels of Distress,Shape of Despair,Angels of Distress
Forfeit,Shape of Despair,Return to the Void
Chitkar,Shohorbondee,
A New Dawn,Shylmagoghnar,Emergence
Edin in Ashes,Shylmagoghnar,Emergence
Emergence,Shylmagoghnar,Emergence
Eternal Forest,Shylmagoghnar,Emergence
I Am the Abyss,Shylmagoghnar,Emergence
Squandered Paradise,Shylmagoghnar,Emergence
The Cosmic Tide,Shylmagoghnar,Emergence
The Sun No Longer,Shylmagoghnar,Emergence
This World Shall Fall,Shylmagoghnar,Emergence
Echo Stasis,Silent Vice,Echo Stasis
Inside The Hollow,Sion,SION
Before I Forget,Slipknot,Vol. 3: (The Subliminal Verses)
